fecha,bin,lado,precio,cuota,p_modelo,paso,stake,real,resultado,beneficio,saldo
2026-08-03,40-64,YES,0.33,3.03,0.8992,1,3.3,51,G,6.7,506.7
2026-08-06,40-64,YES,0.33,3.03,0.897,1,3.3,52,G,6.7,513.4
